customerID,Contract,tenure,MonthlyCharges,Churn,Churn_Probability,MRR_at_Risk,Risk_Tier
7590-VHVEG,0,1,29.85,No,0.5288,15.78,Medium Risk
5575-GNVDE,1,34,56.95,No,0.0281,1.6,Low Risk
3668-QPYBK,0,2,53.85,Yes,0.548,29.51,Medium Risk
7795-CFOCW,1,45,42.3,No,0.0216,0.91,Low Risk
9237-HQITU,0,2,70.7,Yes,0.6122,43.28,High Risk
9305-CDSKC,0,8,99.65,Yes,0.8154,81.25,High Risk
1452-KIOVK,0,22,89.1,No,0.4035,35.95,Medium Risk
6713-OKOMC,0,10,29.75,No,0.3028,9.01,Medium Risk
7892-POOKP,0,28,104.8,Yes,0.5439,57.0,Medium Risk
6388-TABGU,1,62,56.15,No,0.0378,2.12,Low Risk
9763-GRSKD,0,13,49.95,No,0.1315,6.57,Low Risk
7469-LKBCI,2,16,18.95,No,0.0118,0.22,Low Risk
8091-TTVAX,1,58,100.35,No,0.1529,15.34,Low Risk
0280-XJGEX,0,49,103.7,Yes,0.4762,49.38,Medium Risk
5129-JLPIS,0,25,105.5,No,0.4496,47.43,Medium Risk
3655-SNQYZ,2,69,113.25,No,0.0415,4.7,Low Risk
8191-XWSZG,1,52,20.65,No,0.0211,0.44,Low Risk
9959-WOFKT,2,71,106.7,No,0.0972,10.37,Low Risk
4190-MFLUW,0,10,55.2,Yes,0.1635,9.03,Low Risk
4183-MYFRB,0,21,90.05,No,0.471,42.41,Medium Risk
8779-QRDMV,0,1,39.65,Yes,0.8791,34.86,High Risk
1680-VDCWW,1,12,19.8,No,0.0511,1.01,Low Risk
1066-JKSGK,0,1,20.15,Yes,0.377,7.6,Medium Risk
3638-WEABW,2,58,59.9,No,0.0228,1.37,Low Risk
6322-HRPFA,0,49,59.6,No,0.074,4.41,Low Risk
6865-JZNKO,0,30,55.3,No,0.1344,7.43,Low Risk
6467-CHFZW,0,47,99.35,Yes,0.5239,52.05,Medium Risk
8665-UTDHZ,0,1,30.2,Yes,0.6601,19.94,High Risk
5248-YGIJN,2,72,90.25,No,0.0036,0.32,Low Risk
8773-HHUOZ,0,17,64.7,Yes,0.3192,20.65,Medium Risk
3841-NFECX,2,71,96.35,No,0.021,2.02,Low Risk
4929-XIHVW,0,2,95.5,No,0.5502,52.54,Medium Risk
6827-IEAUQ,1,27,66.15,No,0.0328,2.17,Low Risk
7310-EGVHZ,0,1,20.2,No,0.2951,5.96,Low Risk
3413-BMNZE,0,1,45.25,No,0.518,23.44,Medium Risk
6234-RAAPL,2,72,99.9,No,0.0322,3.22,Low Risk
